LAD21CD,LAD21NM,Accommodation_and_Food,Arts_and_Recreation,Financial_Institutions,Healthcare_Centers,Information_and_Communication,Other,Personal_and_Household_Svcs,Retail,Transportation_Facilities
E07000219,Nuneaton and Bedworth,69.0,26.0,17.0,13.0,95.0,65.0,15.0,49.0,0.0
E07000220,Rugby,170.0,101.0,36.0,34.0,281.0,430.0,68.0,128.0,4.0
E07000221,Stratford-on-Avon,273.0,192.0,37.0,49.0,573.0,561.0,71.0,167.0,2.0
E07000222,Warwick,303.0,133.0,66.0,66.0,496.0,1340.0,142.0,198.0,138.0
E07000223,Adur,12.0,19.0,6.0,1.0,121.0,231.0,0.0,9.0,10.0
E07000224,Arun,342.0,97.0,41.0,59.0,403.0,695.0,122.0,227.0,15.0
E07000225,Chichester,334.0,184.0,30.0,49.0,599.0,450.0,51.0,237.0,10.0
E07000226,Crawley,152.0,27.0,34.0,36.0,188.0,331.0,29.0,116.0,4.0
E07000227,Horsham,136.0,149.0,20.0,27.0,478.0,386.0,62.0,114.0,4.0
E07000228,Mid Sussex,126.0,132.0,16.0,22.0,474.0,607.0,44.0,96.0,17.0
E07000229,Worthing,20.0,8.0,14.0,6.0,163.0,196.0,2.0,7.0,6.0
E07000234,Bromsgrove,112.0,79.0,22.0,26.0,228.0,183.0,41.0,102.0,3.0
E07000235,Malvern Hills,130.0,99.0,21.0,19.0,443.0,375.0,31.0,85.0,3.0
E07000236,Redditch,71.0,19.0,22.0,17.0,133.0,70.0,25.0,74.0,2.0
E07000237,Worcester,152.0,58.0,17.0,25.0,169.0,341.0,41.0,96.0,14.0
E07000238,Wychavon,97.0,139.0,22.0,10.0,498.0,293.0,10.0,39.0,0.0
E07000239,Wyre Forest,191.0,73.0,15.0,33.0,181.0,266.0,56.0,116.0,4.0
E07000240,St Albans,210.0,94.0,31.0,47.0,313.0,436.0,75.0,162.0,7.0
E07000241,Welwyn Hatfield,127.0,95.0,28.0,31.0,261.0,328.0,47.0,112.0,1.0
E07000242,East Hertfordshire,197.0,169.0,34.0,47.0,568.0,927.0,69.0,126.0,11.0
E07000243,Stevenage,71.0,33.0,25.0,26.0,116.0,537.0,10.0,51.0,0.0
E07000244,East Suffolk,419.0,439.0,54.0,74.0,1083.0,1379.0,106.0,324.0,17.0
E07000245,West Suffolk,361.0,323.0,52.0,74.0,760.0,1314.0,135.0,245.0,8.0
E07000246,Somerset West and Taunton,302.0,223.0,23.0,25.0,703.0,633.0,47.0,141.0,19.0
E08000001,Bolton,138.0,53.0,40.0,36.0,310.0,391.0,51.0,82.0,1.0
E08000002,Bury,172.0,66.0,16.0,35.0,85.0,99.0,41.0,70.0,1.0
E08000003,Manchester,1618.0,309.0,102.0,182.0,442.0,1235.0,310.0,829.0,162.0
E08000004,Oldham,418.0,102.0,26.0,92.0,158.0,345.0,209.0,416.0,9.0
E08000005,Rochdale,129.0,54.0,27.0,28.0,245.0,150.0,18.0,96.0,6.0
E08000006,Salford,254.0,106.0,43.0,38.0,157.0,622.0,53.0,168.0,45.0
E08000007,Stockport,415.0,109.0,56.0,99.0,276.0,371.0,186.0,340.0,6.0
E08000008,Tameside,187.0,57.0,39.0,42.0,132.0,168.0,64.0,105.0,3.0
E08000009,Trafford,454.0,124.0,54.0,98.0,324.0,518.0,155.0,317.0,32.0
E08000010,Wigan,327.0,153.0,54.0,71.0,436.0,735.0,197.0,254.0,2.0
E08000011,Knowsley,43.0,36.0,9.0,12.0,68.0,106.0,18.0,62.0,0.0
E08000012,Liverpool,769.0,249.0,104.0,120.0,619.0,832.0,122.0,376.0,47.0
E08000013,St. Helens,99.0,53.0,19.0,31.0,247.0,296.0,26.0,71.0,3.0
E08000014,Sefton,374.0,89.0,39.0,85.0,341.0,727.0,165.0,362.0,12.0
E08000015,Wirral,387.0,122.0,65.0,99.0,558.0,392.0,150.0,248.0,4.0
