LAD21CD,LAD21NM,Accommodation_and_Food,Arts_and_Recreation,Financial_Institutions,Healthcare_Centers,Information_and_Communication,Other,Personal_and_Household_Svcs,Retail,Transportation_Facilities
E07000209,Guildford,282.0,248.0,39.0,40.0,583.0,905.0,75.0,243.0,29.0
E07000210,Mole Valley,149.0,168.0,18.0,37.0,406.0,522.0,58.0,154.0,10.0
E07000211,Reigate and Banstead,219.0,110.0,33.0,79.0,399.0,543.0,109.0,212.0,2.0
E07000212,Runnymede,146.0,68.0,19.0,36.0,233.0,550.0,61.0,84.0,7.0
E07000213,Spelthorne,120.0,40.0,14.0,35.0,121.0,149.0,76.0,109.0,6.0
E07000214,Surrey Heath,127.0,58.0,20.0,43.0,154.0,242.0,43.0,94.0,3.0
E07000215,Tandridge,107.0,61.0,6.0,25.0,308.0,430.0,38.0,78.0,1.0
E07000216,Waverley,134.0,217.0,25.0,33.0,518.0,1018.0,50.0,125.0,12.0
E07000217,Woking,87.0,63.0,23.0,20.0,192.0,169.0,40.0,64.0,3.0
E07000218,North Warwickshire,83.0,61.0,14.0,5.0,184.0,222.0,24.0,42.0,3.0
