Local Authority code,Local Authority name,Total recorded crime (excluding fraud),Violence against the person
W06000002,Gwynedd,8507.0,3983.0
W06000003,Conwy,10496.0,5150.0
W06000004,Denbighshire,9676.0,4894.0
W06000005,Flintshire,10583.0,4900.0
W06000006,Wrexham,12747.0,5805.0
W06000008,Ceredigion,4023.0,1975.0
W06000009,Pembrokeshire,7926.0,3942.0
W06000010,Carmarthenshire,11322.0,5391.0
W06000011,Swansea,19877.0,7425.0
W06000012,Neath Port Talbot,9502.0,4465.0
W06000013,Bridgend,10613.0,4369.0
W06000014,Vale of Glamorgan ,8698.0,3454.0
W06000015,Cardiff,39752.0,12449.0
W06000018,Caerphilly,14966.0,6752.0
W06000019,Blaenau Gwent,7652.0,3337.0
W06000020,Torfaen,9077.0,3863.0
W06000021,Monmouthshire,5823.0,2306.0
W06000022,Newport,18866.0,6880.0
W06000023,Powys,6671.0,3222.0
