Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
E07000132,Hinckley and Bosworth,509.0,81.0,388.0,40.0
E07000133,Melton,286.0,49.0,212.0,25.0
E07000134,North West Leicestershire,713.0,108.0,537.0,68.0
E07000135,Oadby and Wigston,302.0,54.0,228.0,20.0
E07000136,Boston,1009.0,79.0,728.0,202.0
E07000137,East Lindsey,1939.0,100.0,1370.0,469.0
E07000138,Lincoln,2992.0,262.0,2175.0,555.0
E07000139,North Kesteven,474.0,33.0,363.0,78.0
E07000140,South Holland,1007.0,97.0,695.0,215.0
E07000141,South Kesteven,1234.0,107.0,897.0,230.0
E07000142,West Lindsey,1118.0,86.0,795.0,237.0
E07000143,Breckland,1182.0,77.0,827.0,278.0
E07000144,Broadland,639.0,40.0,424.0,175.0
E07000145,Great Yarmouth,1586.0,81.0,1211.0,294.0
E07000146,King's Lynn and West Norfolk,1206.0,62.0,905.0,239.0
E07000147,North Norfolk,645.0,27.0,428.0,190.0
E07000148,Norwich,2650.0,133.0,2190.0,327.0
E07000149,South Norfolk,874.0,39.0,616.0,219.0
E07000150,Corby,1140.0,197.0,600.0,343.0
E07000152,East Northamptonshire,1397.0,303.0,739.0,355.0
E07000153,Kettering,1618.0,318.0,823.0,477.0
E07000154,Northampton,4508.0,989.0,2402.0,1117.0
E07000156,Wellingborough,1353.0,258.0,729.0,366.0
E07000170,Ashfield,2989.0,99.0,2511.0,379.0
E07000171,Bassetlaw,2537.0,121.0,2058.0,358.0
E07000174,Mansfield,3038.0,89.0,2569.0,380.0
E07000175,Newark and Sherwood,2538.0,120.0,2084.0,334.0
E07000177,Cherwell,1162.0,91.0,830.0,241.0
E07000178,Oxford,1157.0,64.0,919.0,174.0
E07000179,South Oxfordshire,798.0,82.0,572.0,144.0
E07000180,Vale of White Horse,809.0,80.0,556.0,173.0
E07000181,West Oxfordshire,666.0,53.0,483.0,130.0
E07000192,Cannock Chase,955.0,15.0,635.0,305.0
E07000193,East Staffordshire,1205.0,10.0,817.0,378.0
E07000194,Lichfield,839.0,15.0,561.0,263.0
E07000195,Newcastle-under-Lyme,1527.0,14.0,1109.0,404.0
E07000196,South Staffordshire,732.0,9.0,465.0,258.0
E07000197,Stafford,1536.0,26.0,1036.0,474.0
E07000198,Staffordshire Moorlands,717.0,7.0,472.0,238.0
E07000199,Tamworth,751.0,13.0,494.0,244.0
E07000202,Ipswich,2274.0,245.0,1568.0,461.0
E07000207,Elmbridge,1364.0,209.0,887.0,268.0
E07000208,Epsom and Ewell,1077.0,100.0,852.0,125.0
E07000209,Guildford,1916.0,269.0,1302.0,345.0
E07000210,Mole Valley,835.0,118.0,495.0,222.0
E07000211,Reigate and Banstead,1815.0,246.0,1272.0,297.0
E07000212,Runnymede,1191.0,185.0,797.0,209.0
E07000213,Spelthorne,1606.0,200.0,1119.0,287.0
E07000214,Surrey Heath,1016.0,145.0,656.0,215.0
E07000215,Tandridge,1100.0,173.0,737.0,190.0
E07000216,Waverley,1151.0,180.0,744.0,227.0
E07000217,Woking,1418.0,169.0,951.0,298.0
E07000218,North Warwickshire,920.0,89.0,619.0,212.0
E07000219,Nuneaton and Bedworth,2376.0,251.0,1628.0,497.0
E07000220,Rugby,1075.0,98.0,694.0,283.0
E07000223,Adur,694.0,20.0,596.0,78.0
E07000224,Arun,2036.0,128.0,1681.0,227.0
E07000225,Chichester,1351.0,112.0,1137.0,102.0
E07000226,Crawley,1990.0,59.0,1762.0,169.0
E07000227,Horsham,1345.0,54.0,1107.0,184.0
E07000228,Mid Sussex,1541.0,56.0,1349.0,136.0
E07000229,Worthing,1345.0,61.0,1148.0,136.0
E07000240,St Albans,2366.0,387.0,1396.0,583.0
E07000241,Welwyn Hatfield,3093.0,483.0,1864.0,746.0
E07000242,East Hertfordshire,2635.0,457.0,1530.0,648.0
E07000243,Stevenage,2322.0,348.0,1353.0,621.0
E07000244,Suffolk Coastal,2132.0,197.0,1409.0,526.0
E07000245,Western Suffolk,2047.0,218.0,1252.0,577.0
E08000001,Bolton,7181.0,1542.0,2648.0,2991.0
E08000002,Bury,4135.0,809.0,1557.0,1769.0
E08000003,Manchester,15243.0,2728.0,5191.0,7324.0
E08000004,Oldham,6988.0,1552.0,2435.0,3001.0
E08000005,Rochdale,6150.0,1202.0,2144.0,2804.0
E08000006,Salford,6445.0,1181.0,2059.0,3205.0
E08000007,Stockport,6525.0,1139.0,2428.0,2958.0
E08000008,Tameside,5964.0,1145.0,2360.0,2459.0
E08000009,Trafford,3333.0,785.0,1275.0,1273.0
E08000010,Wigan,6699.0,1175.0,2707.0,2817.0
E08000011,Knowsley,1702.0,40.0,1553.0,109.0
E08000012,Liverpool,6253.0,202.0,5673.0,378.0
E08000013,St. Helens,1957.0,52.0,1745.0,160.0
E08000014,Sefton,2353.0,66.0,2103.0,184.0
E08000015,Wirral,3088.0,110.0,2769.0,209.0
E08000016,Barnsley,4114.0,1492.0,2154.0,468.0
E08000017,Doncaster,6682.0,2334.0,3588.0,760.0
E08000018,Rotherham,4810.0,1817.0,2459.0,534.0
E08000019,Sheffield,10169.0,3353.0,5443.0,1373.0
E08000021,Newcastle upon Tyne,11294.0,1338.0,8616.0,1340.0
E08000022,North Tyneside,5501.0,685.0,3885.0,931.0
E08000023,South Tyneside,4536.0,389.0,3466.0,681.0
E08000024,Sunderland,7614.0,678.0,5939.0,997.0
E08000025,Birmingham,11325.0,1418.0,8325.0,1582.0
E08000026,Coventry,3465.0,627.0,2323.0,515.0
E08000027,Dudley,2261.0,233.0,1719.0,309.0
E08000028,Sandwell,2769.0,250.0,2142.0,377.0
E08000029,Solihull,1378.0,152.0,980.0,246.0
E08000030,Walsall,3028.0,307.0,2330.0,391.0
E08000031,Wolverhampton,2285.0,200.0,1729.0,356.0
E08000032,Bradford,6692.0,125.0,6479.0,88.0
E08000033,Calderdale,2065.0,46.0,1989.0,30.0
E08000034,Kirklees,4680.0,166.0,4459.0,55.0
E08000035,Leeds,9079.0,143.0,8829.0,107.0
E08000036,Wakefield,4718.0,76.0,4576.0,66.0
E08000037,Gateshead,5268.0,527.0,3919.0,822.0
E09000001,City of London,884.0,23.0,825.0,36.0
E09000002,Barking and Dagenham,4931.0,177.0,4219.0,535.0
E09000003,Barnet,9197.0,377.0,7747.0,1073.0
E09000004,Bexley,4097.0,180.0,3470.0,447.0
E09000005,Brent,10696.0,337.0,9261.0,1098.0
E09000006,Bromley,6020.0,296.0,5067.0,657.0
E09000007,Camden,11023.0,385.0,9700.0,938.0
E09000008,Croydon,9095.0,360.0,7810.0,925.0
E09000009,Ealing,11105.0,466.0,9584.0,1055.0
E09000010,Enfield,9252.0,433.0,7967.0,852.0
E09000011,Greenwich,6995.0,272.0,5934.0,789.0
E09000012,Hackney,9655.0,332.0,8316.0,1007.0
E09000013,Hammersmith and Fulham,6138.0,218.0,5272.0,648.0
E09000014,Haringey,9249.0,295.0,8078.0,876.0
E09000015,Harrow,5278.0,214.0,4553.0,511.0
E09000016,Havering,5273.0,230.0,4504.0,539.0
E09000017,Hillingdon,7449.0,260.0,6354.0,835.0
E09000018,Hounslow,8529.0,416.0,7319.0,794.0
E09000019,Islington,8781.0,293.0,7550.0,938.0
E09000020,Kensington and Chelsea,4941.0,179.0,4245.0,517.0
E09000021,Kingston upon Thames,3575.0,137.0,3091.0,347.0
E09000022,Lambeth,10394.0,404.0,8955.0,1035.0
E09000023,Lewisham,7545.0,258.0,6440.0,847.0
E09000024,Merton,4091.0,200.0,3402.0,489.0
E09000025,Newham,10972.0,453.0,9612.0,907.0
E09000026,Redbridge,6462.0,307.0,5492.0,663.0
E09000027,Richmond upon Thames,3477.0,154.0,2890.0,433.0
E09000028,Southwark,10027.0,327.0,8742.0,958.0
E09000029,Sutton,3424.0,160.0,2877.0,387.0
E09000030,Tower Hamlets,12546.0,483.0,11140.0,923.0
E09000031,Waltham Forest,9081.0,389.0,7895.0,797.0
E09000032,Wandsworth,7959.0,307.0,6856.0,796.0
E09000033,Westminster,14596.0,456.0,12948.0,1192.0
W06000001,Isle of Anglesey,818.0,30.0,364.0,424.0
W06000002,Gwynedd,1746.0,75.0,812.0,859.0
W06000003,Conwy,2235.0,90.0,1172.0,973.0
W06000004,Denbighshire,1529.0,60.0,762.0,707.0
W06000005,Flintshire,2106.0,93.0,1038.0,975.0
W06000006,Wrexham,2118.0,95.0,1088.0,935.0
W06000008,Ceredigion,624.0,83.0,445.0,96.0
W06000009,Pembrokeshire,1288.0,140.0,969.0,179.0
W06000010,Carmarthenshire,2281.0,245.0,1708.0,328.0
W06000011,Swansea,4560.0,334.0,3250.0,976.0
W06000012,Neath Port Talbot,2341.0,207.0,1570.0,564.0
W06000013,Bridgend,2253.0,190.0,1433.0,630.0
W06000014,Vale of Glamorgan ,1899.0,133.0,1306.0,460.0
W06000015,Cardiff,8081.0,589.0,5905.0,1587.0
W06000018,Caerphilly,2840.0,382.0,2054.0,404.0
W06000019,Blaenau Gwent,1577.0,190.0,1204.0,183.0
W06000020,Torfaen,1584.0,128.0,1217.0,239.0
W06000021,Monmouthshire,1047.0,57.0,826.0,164.0
W06000022,Newport,3603.0,325.0,2931.0,347.0
W06000023,Powys,1268.0,130.0,934.0,204.0
