Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
,,"42,094","4,505","31,555","6,034"
E08000037,Gateshead,"5,268",527,"3,919",822
E08000021,Newcastle upon Tyne,"11,294","1,338","8,616","1,340"
E08000022,North Tyneside,"5,501",685,"3,885",931
E06000057,Northumberland,"7,879",888,"5,730","1,261"
E08000023,South Tyneside,"4,536",389,"3,466",681
E08000024,Sunderland,"7,614",678,"5,939",997
,,2,0,0,2
,,"28,964","1,247","24,843","2,874"
E07000170,Ashfield,"2,989",99,"2,511",379
E07000171,Bassetlaw,"2,537",121,"2,058",358
E07000174,Mansfield,"3,038",89,"2,569",380
E07000175,Newark and Sherwood,"2,538",120,"2,084",334
E06000018,Nottingham,"12,677",636,"11,117",924
Combined Local Authorities,,"5,107",176,"4,451",480
,,78,6,53,19
,,"25,315","1,926","17,675","5,714"
W06000013,Bridgend,"2,253",190,"1,433",630
W06000015,Cardiff,"8,081",589,"5,905","1,587"
Combined Local Authorities,,"5,209",404,"3,439","1,366"
W06000012,Neath Port Talbot,"2,341",207,"1,570",564
W06000011,Swansea,"4,560",334,"3,250",976
,,972,69,772,131
W06000014,Vale of Glamorgan ,"1,899",133,"1,306",460
,,"26,059","9,106","13,782","3,171"
E08000016,Barnsley,"4,114","1,492","2,154",468
E08000017,Doncaster,"6,682","2,334","3,588",760
E08000018,Rotherham,"4,810","1,817","2,459",534
E08000019,Sheffield,"10,169","3,353","5,443","1,373"
,,284,110,138,36
,,"14,031",167,"9,746","4,118"
E07000192,Cannock Chase,955,15,635,305
E07000193,East Staffordshire,"1,205",10,817,378
E07000194,Lichfield,839,15,561,263
E07000195,Newcastle-under-Lyme,"1,527",14,"1,109",404
E07000196,South Staffordshire,732,9,465,258
E07000197,Stafford,"1,536",26,"1,036",474
E07000198,Staffordshire Moorlands,717,7,472,238
E06000021,Stoke-on-Trent,"5,762",58,"4,152","1,552"
E07000199,Tamworth,751,13,494,244
,,7,0,5,2
,,"6,554",674,"4,291","1,589"
E07000202,Ipswich,"2,274",245,"1,568",461
E07000244,Suffolk Coastal,713,64,475,174
,Unassigned Suffolk,101,14,62,25
E07000244,Waveney,"1,419",133,934,352
E07000245,Western Suffolk,"2,047",218,"1,252",577
,,"14,489","1,994","9,812","2,683"
E07000207,Elmbridge,"1,364",209,887,268
E07000208,Epsom and Ewell,"1,077",100,852,125
E07000209,Guildford,"1,916",269,"1,302",345
E07000210,Mole Valley,835,118,495,222
E07000211,Reigate and Banstead,"1,815",246,"1,272",297
E07000212,Runnymede,"1,191",185,797,209
E07000213,Spelthorne,"1,606",200,"1,119",287
E07000214,Surrey Heath,"1,016",145,656,215
E07000215,Tandridge,"1,100",173,737,190
,,0,0,0,0
E07000216,Waverley,"1,151",180,744,227
E07000217,Woking,"1,418",169,951,298
,,"22,290","1,027","18,869","2,394"
E07000223,Adur,694,20,596,78
E07000224,Arun,"2,036",128,"1,681",227
E06000043,Brighton and Hove,"4,871",187,"4,184",500
E07000225,Chichester,"1,351",112,"1,137",102
E07000226,Crawley,"1,990",59,"1,762",169
E07000061,Eastbourne,"1,817",104,"1,586",127
E07000062,Hastings,"1,680",74,"1,415",191
E07000227,Horsham,"1,345",54,"1,107",184
E07000063,Lewes,"1,122",40,934,148
E07000228,Mid Sussex,"1,541",56,"1,349",136
E07000064,Rother,"1,007",62,791,154
,,135,7,112,16
E07000065,Wealden,"1,356",63,"1,067",226
E07000229,Worthing,"1,345",61,"1,148",136
,,"18,148","1,466","13,374","3,308"
E06000060,Aylesbury Vale,"1,091",73,772,246
E06000036,Bracknell Forest,993,96,745,152
E07000177,Cherwell,"1,162",91,830,241
E06000060,Chiltern,495,40,363,92
E06000042,Milton Keynes,"2,358",204,"1,628",526
E07000178,Oxford,"1,157",64,919,174
E06000038,Reading,"2,070",148,"1,591",331
E06000039,Slough,"1,610",120,"1,213",277
E06000060,South Bucks,448,49,328,71
E07000179,South Oxfordshire,798,82,572,144
,,76,6,55,15
E07000180,Vale of White Horse,809,80,556,173
E06000037,West Berkshire,"1,285",104,947,234
