date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less
2021,Newham,E09000025,115507,14463,26045,50136,18316,6547
2021,Redbridge,E09000026,103714,29194,27566,33324,10899,2731
2021,Richmond upon Thames,E09000027,80705,28502,25300,23682,2821,400
2021,Southwark,E09000028,130818,17780,33974,63094,12735,3235
2021,Sutton,E09000029,82348,23272,25107,28038,5286,645
2021,Tower Hamlets,E09000030,120539,9039,29162,63208,14882,4248
2021,Waltham Forest,E09000031,102903,21746,28709,38615,10794,3039
2021,Wandsworth,E09000032,137393,29689,38614,58750,8742,1598
2021,Westminster,E09000033,94814,11541,25088,48474,7658,2053
2021,Cambridgeshire,E10000003,277634,117815,89678,63427,5677,1037
2021,Cumbria,E10000006,228954,99620,85706,40693,2673,262
2021,Derbyshire,E10000007,354213,146264,132413,69869,5180,487
2021,Devon,E10000008,352620,151087,121262,74464,5172,635
2021,East Sussex,E10000011,240120,89287,83549,60723,5919,642
2021,Essex,E10000012,626472,240165,210095,156335,17820,2057
2021,Gloucestershire,E10000013,279430,120026,91703,62176,4969,556
2021,Hampshire,E10000014,587693,250773,191613,132227,11648,1432
2021,Hertfordshire,E10000015,482893,176887,150850,135519,17276,2361
2021,Kent,E10000016,648390,238486,219181,167630,20150,2943
2021,Lancashire,E10000017,525247,197908,197098,116486,11437,2318
2021,Leicestershire,E10000018,296408,135692,100898,54357,4790,671
2021,Lincolnshire,E10000019,333551,142272,120630,63849,6043,757
2021,Norfolk,E10000020,404341,166165,141545,88522,7305,804
2021,North Yorkshire,E10000023,274381,124457,95613,50985,3045,281
2021,Nottinghamshire,E10000024,357122,157014,127387,66233,5783,705
2021,Oxfordshire,E10000025,288108,120444,91611,68111,6694,1248
2021,Somerset,E10000027,250120,109036,82597,53614,4380,493
2021,Staffordshire,E10000028,375221,162081,128870,77106,6345,819
2021,Suffolk,E10000029,333543,141499,113226,71930,6182,706
2021,Surrey,E10000030,481818,200019,147412,119060,13603,1724
2021,Warwickshire,E10000031,253264,107330,86646,54088,4537,663
2021,West Sussex,E10000032,375220,141530,125565,97043,9879,1203
2021,Worcestershire,E10000034,259933,113002,84269,57252,4863,547
2021,Isle of Anglesey,W06000001,30822,14161,10652,5507,455,47
2021,Gwynedd,W06000002,51105,22080,18550,9486,888,101
2021,Conwy,W06000003,52233,19803,19755,11611,964,100
2021,Denbighshire,W06000004,42387,15712,16461,9330,795,89
2021,Flintshire,W06000005,66911,28944,23746,12996,1087,138
2021,Wrexham,W06000006,57914,21824,20894,13753,1276,167
2021,Ceredigion,W06000008,30894,14622,10198,5643,370,61
2021,Pembrokeshire,W06000009,55485,25439,18345,10742,872,87
2021,Carmarthenshire,W06000010,81759,38471,27511,14415,1217,145
2021,Swansea,W06000011,104962,40802,36543,25241,2145,231
2021,Neath Port Talbot,W06000012,62375,26538,21942,12764,1022,109
2021,Bridgend,W06000013,62360,27720,21675,11795,1035,135
2021,Vale of Glamorgan,W06000014,57450,26401,18665,11458,847,79
2021,Cardiff,W06000015,147332,50564,47250,43712,5031,775
2021,Rhondda Cynon Taff,W06000016,103339,43432,37200,20692,1816,199
2021,Caerphilly,W06000018,76257,31219,27810,15614,1434,180
2021,Blaenau Gwent,W06000019,30340,10606,12118,6938,613,65
2021,Torfaen,W06000020,40241,15882,14254,9189,816,100
2021,Monmouthshire,W06000021,40924,21295,11848,7233,504,44
2021,Newport,W06000022,66054,26615,22176,14996,1807,460
2021,Powys,W06000023,60182,29170,20308,9928,681,95
2021,Merthyr Tydfil,W06000024,25783,9937,9308,5893,578,67
