geography code,Name,Geography,Mid-2022,Mid-2011
E07000238,Wychavon,Non-metropolitan District,"134,536","117,074"
E07000239,Wyre Forest,Non-metropolitan District,"102,328","98,048"
E12000006,EAST,Region,"6,398,497","5,862,418"
E06000055,Bedford,Unitary Authority,"187,466","157,840"
E06000056,Central Bedfordshire,Unitary Authority,"301,501","255,644"
E06000032,Luton,Unitary Authority,"226,973","203,641"
E06000031,Peterborough,Unitary Authority,"217,705","184,457"
E06000033,Southend-on-Sea,Unitary Authority,"180,915","174,274"
E06000034,Thurrock,Unitary Authority,"176,877","158,268"
E10000003,Cambridgeshire,County,"689,109","622,312"
E07000008,Cambridge,Non-metropolitan District,"146,995","122,725"
E07000009,East Cambridgeshire,Non-metropolitan District,"89,394","84,245"
E07000010,Fenland,Non-metropolitan District,"103,035","95,461"
E07000011,Huntingdonshire,Non-metropolitan District,"184,052","170,039"
E07000012,South Cambridgeshire,Non-metropolitan District,"165,633","149,842"
E10000012,Essex,County,"1,519,509","1,396,599"
E07000066,Basildon,Non-metropolitan District,"188,848","174,971"
E07000067,Braintree,Non-metropolitan District,"157,681","147,514"
E07000068,Brentwood,Non-metropolitan District,"77,332","73,841"
E07000069,Castle Point,Non-metropolitan District,"89,731","87,964"
E07000070,Chelmsford,Non-metropolitan District,"183,326","168,491"
E07000071,Colchester,Non-metropolitan District,"194,394","173,614"
E07000072,Epping Forest,Non-metropolitan District,"134,989","124,880"
E07000073,Harlow,Non-metropolitan District,"94,409","82,177"
E07000074,Maldon,Non-metropolitan District,"67,554","61,720"
E07000075,Rochford,Non-metropolitan District,"87,216","83,333"
E07000076,Tendring,Non-metropolitan District,"151,451","138,062"
E07000077,Uttlesford,Non-metropolitan District,"92,578","80,032"
E10000015,Hertfordshire,County,"1,204,588","1,119,824"
E07000095,Broxbourne,Non-metropolitan District,"99,103","93,702"
E07000096,Dacorum,Non-metropolitan District,"156,123","145,298"
E07000242,East Hertfordshire,Non-metropolitan District,"151,635","138,155"
E07000098,Hertsmere,Non-metropolitan District,"108,106","100,379"
E07000099,North Hertfordshire,Non-metropolitan District,"134,159","127,494"
E07000240,St Albans,Non-metropolitan District,"148,358","141,248"
E07000243,Stevenage,Non-metropolitan District,"89,737","84,247"
E07000102,Three Rivers,Non-metropolitan District,"94,123","87,921"
E07000103,Watford,Non-metropolitan District,"103,031","90,653"
E07000241,Welwyn Hatfield,Non-metropolitan District,"120,213","110,727"
E10000020,Norfolk,County,"925,299","859,426"
E07000143,Breckland,Non-metropolitan District,"143,479","131,009"
E07000144,Broadland,Non-metropolitan District,"133,872","124,740"
E07000145,Great Yarmouth,Non-metropolitan District,"99,862","97,424"
E07000146,King's Lynn and West Norfolk,Non-metropolitan District,"155,741","147,936"
E07000147,North Norfolk,Non-metropolitan District,"103,227","101,664"
E07000148,Norwich,Non-metropolitan District,"144,525","132,158"
E07000149,South Norfolk,Non-metropolitan District,"144,593","124,495"
E10000029,Suffolk,County,"768,555","730,133"
E07000200,Babergh,Non-metropolitan District,"94,277","87,901"
E07000244,East Suffolk,Non-metropolitan District,"247,080","239,946"
E07000202,Ipswich,Non-metropolitan District,"139,247","133,729"
E07000203,Mid Suffolk,Non-metropolitan District,"105,723","97,076"
E07000245,West Suffolk,Non-metropolitan District,"182,228","171,481"
E12000007,LONDON,Region,"8,866,180","8,204,407"
E09000007,Camden,London Borough,"218,049","220,087"
E09000001,City of London,London Borough,"10,847","7,412"
E09000012,Hackney,London Borough,"261,491","247,182"
E09000013,Hammersmith and Fulham,London Borough,"185,238","182,445"
E09000014,Haringey,London Borough,"261,811","255,540"
E09000019,Islington,London Borough,"220,373","206,285"
E09000020,Kensington and Chelsea,London Borough,"146,154","158,251"
E09000022,Lambeth,London Borough,"316,812","304,481"
E09000023,Lewisham,London Borough,"298,653","276,938"
E09000025,Newham,London Borough,"358,645","310,460"
E09000028,Southwark,London Borough,"311,913","288,717"
E09000030,Tower Hamlets,London Borough,"325,789","256,012"
E09000032,Wandsworth,London Borough,"329,035","307,710"
E09000033,Westminster,London Borough,"211,365","219,582"
E09000002,Barking and Dagenham,London Borough,"219,992","187,029"
E09000003,Barnet,London Borough,"389,101","357,538"
E09000004,Bexley,London Borough,"247,835","232,774"
E09000005,Brent,London Borough,"341,221","312,245"
E09000006,Bromley,London Borough,"329,578","310,554"
E09000008,Croydon,London Borough,"392,224","364,815"
E09000009,Ealing,London Borough,"369,937","339,314"
E09000010,Enfield,London Borough,"327,224","313,935"
E09000011,Greenwich,London Borough,"291,080","255,483"
E09000015,Harrow,London Borough,"261,185","240,499"
E09000016,Havering,London Borough,"264,703","237,927"
E09000017,Hillingdon,London Borough,"310,681","275,499"
E09000018,Hounslow,London Borough,"290,488","254,927"
