date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups
2021,Wyre,E07000128,50767,16346,32642,261,1190,328,0.035042449
2021,Blaby,E07000129,42575,11095,28170,550,2192,568,0.077745156
2021,Charnwood,E07000130,73785,20860,46748,810,3579,1788,0.083716202
2021,Harborough,E07000131,40413,10514,27005,364,2127,403,0.07161062
2021,Hinckley and Bosworth,E07000132,49446,13972,32589,408,1986,491,0.058346479
2021,Melton,E07000133,22599,6363,15024,159,865,188,0.053630692
2021,North West Leicestershire,E07000134,44973,12497,29987,377,1663,449,0.055344318
2021,Oadby and Wigston,E07000135,22617,6347,14205,391,1257,417,0.091303002
2021,Boston,E07000136,29404,8089,19206,481,987,641,0.071724935
2021,East Lindsey,E07000137,64754,19800,42600,329,1579,446,0.036352967
2021,Lincoln,E07000138,42507,14137,24815,496,1678,1381,0.083633284
2021,North Kesteven,E07000139,50989,13989,34571,302,1776,351,0.047637726
2021,South Holland,E07000140,40704,11051,26869,508,1560,716,0.068396226
2021,South Kesteven,E07000141,62850,18226,40897,588,2522,617,0.05929992
2021,West Lindsey,E07000142,42346,12680,27890,254,1264,258,0.041940207
2021,Breckland,E07000143,60359,16550,39837,631,2440,901,0.065806259
2021,Broadland,E07000144,57760,16238,38368,408,2254,492,0.054605263
2021,Great Yarmouth,E07000145,44550,14488,27619,518,1371,554,0.054837262
2021,King's Lynn and West Norfolk,E07000146,67464,19829,43557,643,2583,852,0.060447053
2021,North Norfolk,E07000147,48374,16319,30070,240,1428,317,0.04103444
2021,Norwich,E07000148,64459,25098,31935,1062,3585,2779,0.115205014
2021,South Norfolk,E07000149,61381,16990,40568,490,2714,619,0.062283117
2021,Craven,E07000163,26067,8440,16500,144,831,152,0.043234741
2021,Hambleton,E07000164,40807,12176,27106,185,1106,234,0.037371039
2021,Harrogate,E07000165,71169,21845,44615,575,3500,634,0.066166449
2021,Richmondshire,E07000166,20945,6108,13979,105,626,127,0.040964431
