date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms
2021,Thanet,E07000114,62200,19114,22431,18348,2065,242,0.667926045
2021,Tonbridge and Malling,E07000115,53573,22555,17639,12035,1208,136,0.750265992
2021,Tunbridge Wells,E07000116,48223,19202,14549,13090,1255,127,0.699894241
2021,Burnley,E07000117,39872,10794,16070,11099,1509,400,0.673756019
2021,Chorley,E07000118,50132,22017,17744,9611,678,82,0.793126147
2021,Fylde,E07000119,37605,16034,13834,7305,389,43,0.794256083
2021,Hyndburn,E07000120,34790,9109,14546,9508,1332,295,0.679936763
2021,Lancaster,E07000121,59980,22319,22947,13565,1016,133,0.754684895
2021,Pendle,E07000122,38066,11121,14731,9873,1682,659,0.679136237
2021,Preston,E07000123,59607,20328,20528,16382,1994,375,0.685422853
2021,Ribble Valley,E07000124,26747,12382,9573,4501,262,29,0.82083972
2021,Rossendale,E07000125,30561,10563,11695,7505,686,112,0.728313864
2021,South Ribble,E07000126,48586,21579,17877,8473,607,50,0.812085786
2021,West Lancashire,E07000127,48534,21691,16974,9098,688,83,0.796658013
2021,Wyre,E07000128,50767,19971,20579,9566,594,57,0.798747218
2021,Blaby,E07000129,42575,19904,14612,7313,662,84,0.810710511
2021,Charnwood,E07000130,73785,31429,24870,15760,1506,220,0.763014163
2021,Harborough,E07000131,40413,20656,12821,6368,478,90,0.828372058
2021,Hinckley and Bosworth,E07000132,49447,22089,17831,8771,680,76,0.807329059
2021,Melton,E07000133,22600,11138,7340,3825,270,27,0.817610619
2021,North West Leicestershire,E07000134,44973,21237,15250,7792,619,75,0.811309008
2021,Oadby and Wigston,E07000135,22617,9240,8174,4528,575,100,0.769951806
2021,Boston,E07000136,29404,10321,10220,7687,1029,147,0.698578425
2021,East Lindsey,E07000137,64754,25729,25716,12175,1031,103,0.794468295
2021,Lincoln,E07000138,42505,13308,15011,12537,1418,231,0.666251029
2021,North Kesteven,E07000139,50989,25313,18385,6817,441,33,0.857008374
2021,South Holland,E07000140,40702,16947,14834,7936,862,123,0.780821581
2021,South Kesteven,E07000141,62850,30003,21421,10550,802,74,0.818202068
2021,West Lindsey,E07000142,42345,20650,15043,6147,459,46,0.842909434
2021,Breckland,E07000143,60359,26362,20891,11797,1166,143,0.782865853
2021,Broadland,E07000144,57760,27752,20078,9309,565,56,0.828081717
2021,Great Yarmouth,E07000145,44544,15305,15992,11873,1243,131,0.702608657
2021,King's Lynn and West Norfolk,E07000146,67464,27877,24220,13927,1272,168,0.772219258
2021,North Norfolk,E07000147,48375,21024,17707,8854,719,71,0.800640827
2021,Norwich,E07000148,64459,18011,22074,22588,1618,168,0.621868164
2021,South Norfolk,E07000149,61383,29834,20583,10176,722,68,0.821351188
2021,Craven,E07000163,26069,11530,9683,4589,236,31,0.813725114
2021,Hambleton,E07000164,40802,20570,13473,6372,350,37,0.834346356
2021,Harrogate,E07000165,71169,32807,23574,13969,752,67,0.792212902
2021,Richmondshire,E07000166,20945,9535,7575,3593,208,34,0.816901408
2021,Ryedale,E07000167,24714,11639,8810,3986,259,20,0.827425751
2021,Scarborough,E07000168,51123,19052,19204,12018,789,60,0.748312892
2021,Selby,E07000169,39560,19323,13295,6458,451,33,0.824519717
2021,Ashfield,E07000170,54510,20697,21250,11339,1097,127,0.769528527
2021,Bassetlaw,E07000171,51458,23580,18106,8929,761,82,0.810097555
2021,Broxtowe,E07000172,48366,20945,17111,9401,830,79,0.786833726
2021,Gedling,E07000173,51552,22403,18721,9517,812,99,0.797718808
2021,Mansfield,E07000174,48030,18484,17556,10696,1136,158,0.750364356
2021,Newark and Sherwood,E07000175,53331,24771,18336,9383,741,100,0.808291613
2021,Rushcliffe,E07000176,49884,26137,16310,6971,406,60,0.850914121
2021,Cherwell,E07000177,65894,27201,21054,15945,1477,217,0.732312502
2021,Oxford,E07000178,55238,16347,16680,18758,2673,780,0.597903617
2021,South Oxfordshire,E07000179,61495,27990,20217,12189,984,115,0.783917392
2021,Vale of White Horse,E07000180,57498,27305,17527,11752,837,77,0.779714077
2021,West Oxfordshire,E07000181,47979,21597,16133,9467,723,59,0.78638571
2021,Mendip,E07000187,50293,22366,16295,10689,857,86,0.768715328
2021,Sedgemoor,E07000188,53903,23275,17880,11541,1037,170,0.763501104
2021,South Somerset,E07000189,75936,33440,25240,15838,1290,128,0.772756005
2021,Cannock Chase,E07000192,43459,16522,15231,10757,855,94,0.730642675
2021,East Staffordshire,E07000193,51293,21155,17212,11388,1300,238,0.747996803
2021,Lichfield,E07000194,45629,21864,14872,8229,598,66,0.805102018
2021,Newcastle-under-Lyme,E07000195,53423,20718,19542,12063,989,111,0.753607997
2021,South Staffordshire,E07000196,46120,21481,15961,8017,598,63,0.811838682
2021,Stafford,E07000197,60047,28386,19582,11244,745,90,0.798840908
2021,Staffordshire Moorlands,E07000198,42354,18605,15645,7484,545,75,0.808660339
2021,Tamworth,E07000199,32895,13349,10825,7923,714,84,0.734883721
2021,Babergh,E07000200,40199,18872,13390,7320,563,54,0.802557278
2021,Ipswich,E07000202,59507,19654,19473,17896,2166,318,0.657519283
2021,Mid Suffolk,E07000203,44343,21317,14869,7537,569,51,0.816047629
2021,Elmbridge,E07000207,55591,25637,16194,12300,1326,134,0.752477919
2021,Epsom and Ewell,E07000208,31322,12388,10105,7686,972,171,0.718121448
2021,Guildford,E07000209,55760,23106,17049,13923,1516,166,0.720139885
2021,Mole Valley,E07000210,37140,16531,10929,8825,780,75,0.739364567
2021,Reigate and Banstead,E07000211,59848,23678,19067,14939,1960,204,0.714226039
2021,Runnymede,E07000212,34838,12204,11152,10233,1126,123,0.67041736
2021,Spelthorne,E07000213,41805,13606,13554,12531,1852,262,0.649683052
2021,Surrey Heath,E07000214,36008,17373,10283,7455,783,114,0.768051544
2021,Tandridge,E07000215,35621,15355,11022,8242,921,81,0.74049016
2021,Waverley,E07000216,52451,24125,15897,11428,896,105,0.763035976
2021,Woking,E07000217,41437,16016,12160,11498,1473,290,0.679972006
2021,North Warwickshire,E07000218,27579,11659,9622,5767,477,54,0.77163784
2021,Nuneaton and Bedworth,E07000219,56585,21474,20124,13353,1416,218,0.735141822
2021,Rugby,E07000220,47013,19945,15500,10266,1132,170,0.753940399
2021,Stratford-on-Avon,E07000221,59466,28873,19610,10337,586,60,0.815306225
2021,Warwick,E07000222,62619,25379,21787,14367,926,160,0.753221866
2021,Adur,E07000223,27678,8701,10679,7465,742,91,0.700195101
2021,Arun,E07000224,72661,25931,26586,17976,1944,224,0.722767372
2021,Chichester,E07000225,54118,23398,17479,12233,912,96,0.755330943
2021,Crawley,E07000226,45502,13446,13492,15492,2630,442,0.592017933
2021,Horsham,E07000227,62370,27749,19743,13859,936,83,0.761455828
2021,Mid Sussex,E07000228,63349,27709,19898,14409,1204,129,0.751503575
2021,Worthing,E07000229,49537,14596,17688,15608,1511,134,0.65171488
2021,Bromsgrove,E07000234,41266,20562,12769,7352,539,44,0.807710948
2021,Malvern Hills,E07000235,34892,16474,11377,6567,431,43,0.798205892
2021,Redditch,E07000236,36377,14323,11240,9598,1078,138,0.702724249
2021,Worcester,E07000237,44720,16333,15102,12116,1036,133,0.702929338
2021,Wychavon,E07000238,57356,26902,17954,11477,920,103,0.782062905
2021,Wyre Forest,E07000239,45323,18408,15827,10143,859,86,0.755356
2021,St Albans,E07000240,58990,25446,18048,13683,1596,217,0.737311409
2021,Welwyn Hatfield,E07000241,46211,16054,14473,13774,1591,319,0.66060029
2021,East Hertfordshire,E07000242,62021,25253,19969,15237,1425,137,0.72914013
2021,Stevenage,E07000243,36511,11375,11183,12188,1595,170,0.617841199
2021,East Suffolk,E07000244,110747,49233,37940,21863,1564,147,0.787136446
2021,West Suffolk,E07000245,78746,32423,27554,17314,1320,135,0.761651385
2021,Somerset West and Taunton,E07000246,69986,29955,23182,15545,1195,109,0.75925185
2021,Bolton,E08000001,118790,35524,43439,33013,5328,1486,0.664727671
2021,Bury,E08000002,80695,28175,29177,20265,2579,499,0.710725572
2021,Manchester,E08000003,214731,45341,71482,80955,13605,3348,0.544043478
2021,Oldham,E08000004,93139,24936,33862,27346,5373,1622,0.631293014
2021,Rochdale,E08000005,90223,27087,31943,26092,4126,975,0.654267759
2021,Salford,E08000006,115116,30380,40985,38428,4589,734,0.619939887
2021,Stockport,E08000007,126648,49051,44418,29872,2910,397,0.738021919
2021,Tameside,E08000008,99527,28785,37990,28646,3503,603,0.670923468
2021,Trafford,E08000009,96268,37905,32841,22743,2406,373,0.734885943
2021,Wigan,E08000010,143105,52738,55084,31873,3051,359,0.75344677
2021,Knowsley,E08000011,66073,24826,24038,15317,1702,190,0.739545654
2021,Liverpool,E08000012,207491,66337,74574,59228,6261,1091,0.679118612
2021,St. Helens,E08000013,81011,31051,30601,17471,1702,186,0.761032452
2021,Sefton,E08000014,123073,50102,42819,27452,2289,411,0.755007191
2021,Wirral,E08000015,143251,60047,50582,30267,2109,246,0.772273841
2021,Barnsley,E08000016,108053,40445,42789,22606,1999,214,0.770307164
2021,Doncaster,E08000017,133480,53700,48352,28165,2889,374,0.764548996
2021,Rotherham,E08000018,113925,44227,42275,24446,2511,466,0.759289006
2021,Sheffield,E08000019,231950,82458,76779,63888,7436,1389,0.686514335
2021,Newcastle upon Tyne,E08000021,122797,37931,46326,34529,3385,626,0.686148684
2021,North Tyneside,E08000022,96234,34500,38342,21896,1365,131,0.756925827
2021,South Tyneside,E08000023,68287,22035,27401,17520,1219,112,0.723944528
2021,Sunderland,E08000024,122177,39481,49459,30455,2491,291,0.727960254
2021,Birmingham,E08000025,423456,117195,127032,139604,30422,9203,0.576747053
