date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health
2021,Gloucester,E07000081,132416,61882,46736,17259,5172,1367,0.95061775
2021,Stroud,E07000082,121102,58893,42058,15125,4014,1012,0.958497795
2021,Tewkesbury,E07000083,94884,47236,32541,11385,2956,766,0.960773155
2021,Basingstoke and Deane,E07000084,185157,92794,64764,20776,5419,1404,0.963150191
2021,East Hampshire,E07000085,125744,63828,43139,14273,3599,905,0.964181194
2021,Eastleigh,E07000086,136443,67981,47400,15896,4088,1078,0.962138036
2021,Fareham,E07000087,114513,55185,40519,14190,3698,921,0.959663968
2021,Gosport,E07000088,81952,35504,29829,12134,3587,898,0.945272843
2021,Hart,E07000089,99408,54555,32704,9344,2177,628,0.971782955
2021,Havant,E07000090,124208,55028,44185,18023,5437,1535,0.94386835
2021,New Forest,E07000091,175785,81075,62425,23866,6534,1885,0.952106266
2021,Rushmoor,E07000092,99756,49428,34814,11769,2965,780,0.962458398
2021,Test Valley,E07000093,130492,65696,44842,14925,3958,1071,0.961461239
2021,Winchester,E07000094,127443,67850,41989,13236,3466,902,0.965725854
2021,Broxbourne,E07000095,99007,49630,33422,11621,3354,980,0.956225317
2021,Dacorum,E07000096,155081,80604,51271,17171,4784,1251,0.961084852
2021,Hertsmere,E07000098,107828,57652,34388,11602,3205,981,0.961178915
2021,North Hertfordshire,E07000099,133210,67385,45317,15363,4089,1056,0.961376774
2021,Three Rivers,E07000102,93771,50330,30357,9788,2586,710,0.96485054
2021,Watford,E07000103,102246,53559,34277,10601,2955,854,0.962746709
2021,Ashford,E07000105,132747,64334,45779,16551,4748,1335,0.954175989
2021,Canterbury,E07000106,157429,74034,54597,20762,6224,1812,0.948954767
2021,Dartford,E07000107,116753,61128,38680,12556,3390,999,0.962407818
2021,Dover,E07000108,116410,51455,40711,17036,5611,1597,0.938080921
2021,Gravesham,E07000109,106900,52013,36416,13291,4088,1092,0.951543499
2021,Maidstone,E07000110,175782,87494,59781,21018,5832,1657,0.957396093
2021,Sevenoaks,E07000111,120515,63410,38931,13407,3660,1107,0.960444758
2021,Folkestone and Hythe,E07000112,109759,47404,38432,16801,5519,1603,0.935112383
2021,Swale,E07000113,151678,68967,52738,21338,6688,1947,0.943070188
2021,Thanet,E07000114,140587,59000,49262,22148,7823,2354,0.927610661
2021,Tonbridge and Malling,E07000115,132201,67896,44052,14959,4164,1130,0.959954917
2021,Tunbridge Wells,E07000116,115311,60833,37512,12586,3415,965,0.962015766
2021,Burnley,E07000117,94645,42648,31570,13808,5073,1546,0.93006498
2021,Chorley,E07000118,117732,57332,39109,15198,4735,1358,0.948246866
2021,Fylde,E07000119,81374,37427,27421,11815,3641,1070,0.942106815
2021,Hyndburn,E07000120,82234,36121,28210,12149,4387,1367,0.930028942
2021,Lancaster,E07000121,142934,66454,48857,19619,6214,1790,0.944002127
2021,Pendle,E07000122,95760,44752,32255,13182,4286,1285,0.941823308
2021,Preston,E07000123,147835,71585,48918,19091,6379,1862,0.94425542
2021,Ribble Valley,E07000124,61561,32360,19764,7117,1855,465,0.962313803
2021,Rossendale,E07000125,70873,33310,23556,9673,3430,904,0.938848363
2021,South Ribble,E07000126,111035,53172,37823,14535,4318,1187,0.950421038
2021,West Lancashire,E07000127,117430,56460,38918,15404,5114,1534,0.94338755
2021,Wyre,E07000128,111946,49623,37251,17326,5902,1844,0.930805924
2021,Blaby,E07000129,102926,50473,35496,12636,3328,993,0.958018382
2021,Charnwood,E07000130,183971,90255,63617,22344,6051,1704,0.957846617
2021,Harborough,E07000131,97627,50282,32717,11016,2850,762,0.963002038
2021,Hinckley and Bosworth,E07000132,113640,52913,40394,14967,4164,1202,0.952780711
2021,Melton,E07000133,51752,24748,18186,6757,1622,439,0.960175452
2021,North West Leicestershire,E07000134,104706,49180,36846,13648,3916,1116,0.951941627
2021,Oadby and Wigston,E07000135,57747,26568,20744,7661,2170,604,0.951962873
2021,Boston,E07000136,70502,29747,26118,10548,3193,896,0.942001645
2021,East Lindsey,E07000137,142296,53934,50793,25949,8969,2651,0.918339237
2021,Lincoln,E07000138,103813,45492,38213,14444,4461,1203,0.945440359
2021,North Kesteven,E07000139,118074,54648,41825,15872,4509,1220,0.951479581
2021,South Holland,E07000140,95122,39386,35883,14451,4268,1134,0.943209773
2021,South Kesteven,E07000141,143404,65973,51176,19418,5456,1381,0.952323506
2021,West Lindsey,E07000142,95153,41693,34181,13948,4227,1104,0.943974441
2021,Breckland,E07000143,141477,60208,52416,21131,6109,1613,0.94541869
2021,Broadland,E07000144,131721,59373,47997,18304,4810,1237,0.954092362
2021,Great Yarmouth,E07000145,99748,40086,35834,16599,5610,1619,0.927527369
2021,King's Lynn and West Norfolk,E07000146,154325,64413,56961,23789,7106,2056,0.940631784
2021,North Norfolk,E07000147,102981,40520,38727,17522,4821,1391,0.939678193
2021,Norwich,E07000148,143921,63232,52223,20346,6382,1738,0.943580159
2021,South Norfolk,E07000149,141948,66743,50340,18701,4877,1287,0.956575647
2021,Craven,E07000163,56927,27225,19981,7305,1886,530,0.957559682
2021,Hambleton,E07000164,90690,43195,31946,11542,3121,886,0.955816518
2021,Harrogate,E07000165,162667,82888,54506,18981,4971,1321,0.961319751
2021,Richmondshire,E07000166,49777,24862,16864,6058,1550,443,0.959961428
2021,Ryedale,E07000167,54707,25123,19488,7563,1952,581,0.953698795
2021,Scarborough,E07000168,108737,44934,39080,17296,5775,1652,0.931697582
2021,Selby,E07000169,91988,44845,31791,11351,3138,863,0.956505196
2021,Ashfield,E07000170,126300,53556,43876,19912,6947,2009,0.92908947
2021,Bassetlaw,E07000171,117804,51679,40938,17862,5618,1707,0.937820448
2021,Broxtowe,E07000172,110940,51331,38407,15476,4462,1264,0.948386515
2021,Gedling,E07000173,117263,53976,40850,16183,4840,1414,0.946666894
2021,Mansfield,E07000174,110482,47123,38004,17302,6249,1804,0.927110299
2021,Newark and Sherwood,E07000175,122956,54954,43072,17806,5553,1571,0.942060575
2021,Rushcliffe,E07000176,119077,63235,38139,13096,3629,978,0.961310749
2021,Cherwell,E07000177,161018,81759,55298,17966,4699,1296,0.962768138
2021,Oxford,E07000178,162039,88767,52154,15703,4221,1194,0.966582119
2021,South Oxfordshire,E07000179,149085,79641,49194,15408,3831,1011,0.967521883
2021,Vale of White Horse,E07000180,138913,72726,46700,14989,3585,913,0.967620021
2021,West Oxfordshire,E07000181,114237,58560,38834,12766,3198,879,0.964311038
2021,Mendip,E07000187,116090,55396,40072,15165,4312,1145,0.952993367
2021,Sedgemoor,E07000188,125343,55925,44639,17763,5484,1532,0.944025594
2021,South Somerset,E07000189,172671,79386,61211,23507,6637,1930,0.950385415
2021,Cannock Chase,E07000192,100520,43559,35779,14742,4955,1485,0.935933148
2021,East Staffordshire,E07000193,124019,57717,43989,16319,4637,1357,0.951668696
2021,Lichfield,E07000194,106436,50143,37056,13924,4162,1151,0.950082679
2021,Newcastle-under-Lyme,E07000195,123300,54189,43520,17878,5972,1741,0.937445255
2021,South Staffordshire,E07000196,110472,49718,39468,15421,4538,1327,0.946909624
2021,Stafford,E07000197,136867,64032,47929,18200,5203,1503,0.951003529
2021,Staffordshire Moorlands,E07000198,95847,42805,33976,13660,4144,1262,0.943597609
2021,Tamworth,E07000199,78647,35798,27433,10922,3434,1060,0.942858596
2021,Babergh,E07000200,92338,42772,33135,12352,3225,854,0.955825337
2021,Ipswich,E07000202,139642,63728,49957,18905,5562,1490,0.949499434
2021,Mid Suffolk,E07000203,102699,48205,36960,13204,3454,876,0.957837954
2021,Elmbridge,E07000207,138755,81741,40971,12067,3038,938,0.971345177
2021,Epsom and Ewell,E07000208,80938,43925,26427,8110,1940,536,0.969408683
2021,Guildford,E07000209,143650,78671,46690,13717,3531,1041,0.968172642
2021,Mole Valley,E07000210,87386,45952,28806,9411,2501,716,0.963186323
2021,Reigate and Banstead,E07000211,150846,81155,49031,15541,3979,1140,0.966064728
2021,Runnymede,E07000212,88079,46128,29446,9344,2487,674,0.964111763
2021,Spelthorne,E07000213,102956,51913,35432,11642,3072,897,0.961449551
2021,Surrey Heath,E07000214,90453,48670,29656,9208,2249,670,0.967729097
2021,Tandridge,E07000215,87877,45917,28955,9685,2570,750,0.962219921
2021,Waverley,E07000216,128229,70073,41167,12883,3236,870,0.967979162
2021,Woking,E07000217,103942,55399,34440,10559,2776,768,0.965904062
2021,North Warwickshire,E07000218,65034,29587,22596,9157,2864,830,0.943198942
2021,Nuneaton and Bedworth,E07000219,134197,59458,47478,19379,6075,1807,0.941265453
2021,Rugby,E07000220,114363,55844,39851,13777,3887,1004,0.957232671
2021,Stratford-on-Avon,E07000221,134725,66877,46177,16193,4275,1203,0.959339395
2021,Warwick,E07000222,148453,77332,49195,16306,4393,1227,0.9621429
2021,Adur,E07000223,64544,29272,22573,9108,2800,791,0.944363535
2021,Arun,E07000224,164889,71215,60303,24419,7110,1842,0.945708931
2021,Chichester,E07000225,124068,60839,42522,15366,4178,1163,0.956951027
2021,Crawley,E07000226,118493,58152,41451,13754,3975,1161,0.956655667
2021,Horsham,E07000227,146778,75551,49827,16218,4067,1115,0.964694982
2021,Mid Sussex,E07000228,152566,80741,50460,16029,4180,1156,0.965024973
2021,Worthing,E07000229,111340,50406,39682,15418,4526,1308,0.94760194
2021,Bromsgrove,E07000234,99183,50253,32850,11705,3329,1046,0.955889618
2021,Malvern Hills,E07000235,79486,36926,27733,10843,3096,888,0.949877966
2021,Redditch,E07000236,87038,40480,30616,11431,3547,964,0.948172063
2021,Worcester,E07000237,103872,49220,36463,13209,3882,1098,0.952056377
2021,Wychavon,E07000238,132492,62836,46380,17163,4829,1284,0.953861365
2021,Wyre Forest,E07000239,101607,44004,36337,15024,4818,1424,0.938567225
2021,St Albans,E07000240,148167,85242,44893,13557,3520,955,0.969797593
2021,Welwyn Hatfield,E07000241,119836,61896,40200,13130,3664,946,0.961530759
2021,East Hertfordshire,E07000242,150155,81057,48853,15274,3916,1055,0.966894209
2021,Stevenage,E07000243,89495,42673,31339,11298,3298,887,0.953237611
2021,East Suffolk,E07000244,246056,106604,88502,36851,11148,2951,0.942700036
2021,West Suffolk,E07000245,179948,85843,63799,22468,6150,1688,0.956442972
2021,Somerset West and Taunton,E07000246,157445,72178,55069,22010,6513,1675,0.947994538
2021,Bolton,E08000001,295963,142076,96785,38905,13968,4229,0.938515963
2021,Bury,E08000002,193850,93456,63919,25700,8416,2359,0.944415785
2021,Manchester,E08000003,551938,280547,173458,64955,24915,8063,0.940250535
2021,Oldham,E08000004,242088,113590,79548,33754,11724,3472,0.937229437
2021,Rochdale,E08000005,223773,104957,73713,30753,11214,3136,0.935872514
2021,Salford,E08000006,269923,134447,86140,33249,12406,3681,0.940401522
2021,Stockport,E08000007,294773,145602,96317,37255,12017,3582,0.947081313
2021,Tameside,E08000008,231071,104704,77895,33204,11821,3447,0.933925071
2021,Trafford,E08000009,235052,124806,72803,26515,8406,2522,0.95350816
2021,Wigan,E08000010,329331,152373,110193,46214,16085,4466,0.937597736
2021,Knowsley,E08000011,154519,73079,46569,21561,10037,3273,0.913861726
2021,Liverpool,E08000012,486088,231830,150332,65142,29077,9707,0.920211978
2021,St. Helens,E08000013,183245,82747,59974,26762,10591,3171,0.92489836
2021,Sefton,E08000014,279233,129449,90164,40057,14953,4610,0.929940229
